
2024/07/16 (15:41:37) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (15:41:37) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (15:41:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (15:41:37) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (15:41:37) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (15:48:34) | ===> btop++ v.1.3.2
2024/07/16 (15:48:34) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (15:48:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (15:48:34) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (15:48:34) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (15:48:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (15:48:34) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (15:48:34) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (18:35:02) | ===> btop++ v.1.3.2
2024/07/16 (18:35:02) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (18:35:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:35:02) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (18:35:02) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (18:35:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:35:02) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (18:35:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (18:35:23) | ===> btop++ v.1.3.2
2024/07/16 (18:35:23) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (18:35:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:35:23) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (18:35:23) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (18:35:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:35:23) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (18:35:23) | WARNING: ROCm SMI: Failed to get PCIe throughput

